"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell shape"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",rod-shaped
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",rod-shaped
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",rod-shaped
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",coccus-shaped
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",rod-shaped
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",rod-shaped
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",rod-shaped
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",rod-shaped
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",rod-shaped
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",filament-shaped
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",rod-shaped
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",rod-shaped
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",rod-shaped
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",ellipsoidal
132413,Bo7,"DSM 23824, CECT 7722",1,"Acetobacter musti",coccus-shaped
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",rod-shaped
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",rod-shaped
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",coccus-shaped
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",rod-shaped
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",rod-shaped
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",rod-shaped
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",rod-shaped
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",rod-shaped
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",rod-shaped
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84",1,"Achromobacter insolitus",coccus-shaped
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",rod-shaped
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",rod-shaped
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",coccus-shaped
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",coccus-shaped
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",rod-shaped
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",rod-shaped
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",rod-shaped
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",rod-shaped
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",rod-shaped
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",rod-shaped
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",rod-shaped
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",rod-shaped
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",rod-shaped
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",rod-shaped
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",coccus-shaped
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,"Acidipropionibacterium olivae",pleomorphic-shaped
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",rod-shaped
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",coccus-shaped
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",coccus-shaped
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",coccus-shaped
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",rod-shaped
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",rod-shaped
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",rod-shaped
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",rod-shaped
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",rod-shaped
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,"Acidobacterium capsulatum",rod-shaped
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",rod-shaped
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",rod-shaped
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",rod-shaped
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",rod-shaped
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",rod-shaped
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",rod-shaped
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",rod-shaped
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",ovoid-shaped
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",ovoid-shaped
130449,,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,"Acinetobacter boissieri",ovoid-shaped
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549",1,"Acinetobacter celticus",coccus-shaped
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,"Acinetobacter colistiniresistens",coccus-shaped
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,"Acinetobacter courvalinii",coccus-shaped
