"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell width"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",0.4-0.6
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",0.5
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",0.7-1
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",0.5-0.8
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",0.3
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",0.5-0.8
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",0.4-0.5
,,,,,0.45
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",0.2
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",0.5-1.0
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",1
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",0.8
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",0.8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",0.9
132413,Bo7,"DSM 23824, CECT 7722",1,"Acetobacter musti",1.2
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",0.1-0.2
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",0.8-0.9
11,,"DSM 11825, LTH 2458",1,"Acetobacter pomorum",0.8-1.2
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",0.8
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",0.4-0.5
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",0.5-1
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",0.4-0.7
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",0.8-1.2
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",0.4-0.7
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",0.4-0.7
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",0.4-1.1
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",0.4-0.7
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",1.3-1.5
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",0.7-1.0
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",0.6-0.9
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",0.4-0.8
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",0.5-0.8
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",1.5-2.3
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",0.35-0.4
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",0.3-0.4
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",0.6-1.1
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",0.7
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",0.7-1.2
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",0.8-1.5
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",0.7-1.0
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",1.5
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",0.5
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",0.7-0.9
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",0.3
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",0.6-0.8
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",0.9
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",0.71-0.76
