"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Multicellular complex forming ability"
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",0
16504,"E 90","DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,"Acrocarpospora corrugata",0
16505,R-55,"DSM 44705, IFO 16266, JCM 10982, NBRC 16266, BCRC 16396",1,"Acrocarpospora macrocephala",0
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,"Acrocarpospora phusangensis",0
,,,,,1
16506,R-31,"DSM 44706, IFO 16267, JCM 10983, NBRC 16267, BCRC 16801",1,"Acrocarpospora pleiomorpha",0
,,,,,1
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,"Actinoallomurus acanthiterrae",0
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,"Actinoallomurus oryzae",0
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,"Actinoalloteichus spitiensis",0
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",0
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,"Actinocatenispora thailandica",0
16915,,"DSM 44434, IAM 1540H3, IFO 14752, JCM 16895, NBRC 14752, CIP 109708",1,"Actinocorallia aurea",1
16912,I-226,"DSM 44360, IFO 15960, JCM 9376, NBRC 15960, IMSNU 22179",1,"Actinocorallia glomerata",0
,,,,,1
16908,828-21,"DSM 43554, ATCC 35576, CCM 3425, IFO 14095, IMET 9616, JCM 10696, JCM 3284, KCC A-0284, NBRC 14095, NCIB 11686, NRRL B-16097, BCRC 13400, IMSNU 20007, KCTC 9340, MTCC 2557, NCIMB 11686, PCM 2200, VKM Ac-939",1,"Actinocorallia libanotica",1
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,"Actinocorallia longicatena",0
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",1
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",1
132668,MI503-A4,"DSM 45934, NBRC 109632",1,"Actinocrispum wychmicini",0
,,,,,1
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,"Actinokineospora alba",0
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,"Actinokineospora diospyrosa",0
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,"Actinokineospora globicatena",0
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,"Actinokineospora inagensis",0
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,"Actinokineospora riparia",0
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,"Actinokineospora terrae",0
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,"Actinomadura alba",0
131551,ACD1,"DSM 46744, CECT 8841",1,"Actinomadura algeriensis",0
,,,,,1
16924,,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,"Actinomadura atramentaria",0
,,,,,1
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,"Actinomadura citrea",0
,,,,,1
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,"Actinomadura craniellae",0
,,,,,1
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,"Actinomadura cremea subsp. cremea",0
,,,,,1
159889,,"CGMCC 4.7432, KCTC 39998, BMP B8004, JCM 33401",1,"Actinomadura deserti",1
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,"Actinomadura fibrosa",0
,,,,,1
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",0
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,"Actinomadura formosensis",0
16928,,"DSM 43923, IFO 14347, IMET 9745, INA 3321, JCM 6833, NBRC 14347, NCTC B-16245, IMSNU 20005, KCTC 9339, MTCC 1381, NRRL B-16245, VKM Ac-938",1,"Actinomadura fulvescens",0
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,"Actinomadura geliboluensis",0
,,,,,1
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,"Actinomadura glauciflava",0
,,,,,1
16979,"SA 26015","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,"Actinomadura hibisca",0
,,,,,1
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",0
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,"Actinomadura kijaniata",0
,,,,,1
167434,,"LMG 31258, NRRL B-65521, DSM 109019",1,"Actinomadura lepetitiana",0
,,,,,1
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,"Actinomadura livida",0
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,"Actinomadura logoneensis",0
,,,,,1
16931,,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,"Actinomadura luteofluorescens",0
,,,,,1
16932,"FD 25934","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,"Actinomadura macra",0
,,,,,1
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,"Actinomadura madurae",0
,,,,,1
16989,A288,"DSM 44715, NRRL B-24247, JCM 13237",1,"Actinomadura meyerae",0
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",1
16986,"FH-A 1198, ID 90-506","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,"Actinomadura namibiensis",0
,,,,,1
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,"Actinomadura napierensis",0
,,,,,1
16976,,"DSM 44137, IFO 15918, JCM 10104, NBRC 15918, BCRC 16816, IMSNU 21254, NCIMB 13456",1,"Actinomadura nitritigenes",0
,,,,,1
16973,,"DSM 43928, NRRL B-16216",0,"Actinomadura oligospora",0
,,,,,1
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",1
