"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Pathogenicity (human)"
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,"Acidaminococcus fermentans",1
158826,WCA-389-WT-5B,"DSM 105754",0,"Acidaminococcus fermentans",1
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",1
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",1
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250",1,"Acinetobacter guillouiae",1
11689,"PM 30/53","ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,"Actinobacillus equuli subsp. equuli",1
159521,"15746, 108465","DSM 108465",0,"Actinobacillus equuli subsp. haemolyticus",1
11679,,"CIP 107665, DSM 22256, ATCC 49236, CCUG 41384, CIP 53.130, NCTC 4189",1,"Actinobacillus lignieresii",1
11678,"CM 2","DSM 19770, ATCC 19363, JCM 2431, NCTC 4976, CCUG 23133, ATCC 19393",0,"Actinobacillus lignieresii",1
11682,,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,"Actinobacillus suis",1
11681,1208,"DSM 19774, ATCC 15557, JCM 2433, GTC 00492",0,"Actinobacillus suis",1
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,"Actinomadura madurae",1
16934,"IHM 1390","DSM 43121, IMRU 754",0,"Actinomadura madurae",1
16935,A.292(9972),"DSM 43122, IMRU 780",0,"Actinomadura madurae",1
16936,812,"DSM 43123, IMRU 1260",0,"Actinomadura madurae",1
16937,Pirie,"DSM 43236, NCTC 1070",0,"Actinomadura madurae",1
16938,"A 32","DSM 43380, IP 364",0,"Actinomadura madurae",1
16939,"A 124, B-2","DSM 43381, IMET 7144, IMRU 1136",0,"Actinomadura madurae",1
16940,"492-10, A 196","DSM 44005, IMET 492-10, IMET 9562",0,"Actinomadura madurae",1
16941,"Sal 1","DSM 46006, IMET 7145",0,"Actinomadura madurae",1
16942,"A 126, RG 1091","DSM 46007, IMET 7146",0,"Actinomadura madurae",1
16943,906-28,"DSM 46181, IMET 9595",0,"Actinomadura madurae",1
16944,905-223,"DSM 46182, IMET 9597",0,"Actinomadura madurae",1
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,"Actinomyces naeslundii",1
153,"Bowden X600S-96, CS 1752, X-600","DSM 17233, ATCC 19039, CCUG 35337, DSM 43325, WVU 447, CDC X-600, JCM 8350, CIP 104837, CIP 82.9",0,"Actinomyces naeslundii",1
191,W1053,"DSM 23056, ATCC 27044, CCUG 34288, WVU 474, JCM 16131",1,"Actinomyces oris",1
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311, CIP 54.145, IAM 12302, IFO 12219, LMG 17931, NBRC 12219, NISL 7400",1,"Aerococcus viridans",1
220,,"DSM 20311, ATCC 10400",0,"Aerococcus viridans",1
253,,"DSM 7323, ATCC 15468, NRRL B-968, WDCM 00062, NCTC 12244, JCM 1060, BCRC 16001, CCM 4491, CCUG 25939, CECT 838, CGMCC 1.1960, CIP 76.16, GTC 00465, LMG 12160, LMG 3775, NCAIM B.01931, NCIMB 13016",1,"Aeromonas caviae",1
237,256,"DSM 30188, ATCC 15467, IFO 13282, NBRC 13282, CCUG 25938, LMG 3755, CIP 76.15, JCM 1043, BCRC 11554, CCM 7231, CECT 4221, IAM 12334, KCTC 12487, NCIMB 13740",0,"Aeromonas caviae",1
23539,"WS 41333","DSM 30025",0,"Aeromonas caviae",1
130141,"AecaKS148, KS148","DSM 29415",0,"Aeromonas caviae",1
240,"WS 41125, WS41125 (Aeromonas hydrophila)","DSM 30016",0,"Aeromonas hydrophila",1
169149,"LUHS TK-19-2","DSM 112649",0,"Aeromonas hydrophila",1
241,,"DSM 30187, ATCC 7966, LMG 2844, NCDC 359-60, NCMB 86, NCTC 8049, WDCM 00063, CCUG 14551, CIP 76.14, JCM 1027, BCRC 13018, CCM 7232, CDC 359-60, CECT 839, HAMBI 1847, IAM 12337, IAM 12460, KCTC 2358, LMG 12156, LMG 13439, NCAIM B.01923, NCIMB 9240",1,"Aeromonas hydrophila subsp. hydrophila",1
