"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Ability of spore formation"
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",0
,,,,,1
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",0
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",0
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",0
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",0
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",1
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",1
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",1
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",1
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",1
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",0
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",0
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",0
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",0
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",0
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",0
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",0
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",0
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",0
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",0
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",0
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",0
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,"Acidipropionibacterium olivae",0
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",0
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",0
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",0
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",0
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",0
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",0
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",0
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",0
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",0
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",0
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",0
130449,,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,"Acinetobacter boissieri",0
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",0
140631,,"CCUG 68785, NRRL B-41902",1,"Acinetobacter lactucae",0
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",0
163942,GC2,"JCM 31073, DSM 26953",0,"Acinetobacter lwoffii",0
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,"Acinetobacter nectaris",0
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",0
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",0
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,"Acinetobacter soli",0
134305,JC2129,"KCTC 12704, JCM 14002",1,"Actibacter sediminis",0
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",0
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931, JCM 17235, TBRC 563",1,"Actinoallomurus acaciae",1
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,"Actinoallomurus acanthiterrae",1
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,"Actinoallomurus amamiensis",1
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,"Actinoallomurus caesius",1
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,"Actinoallomurus coprocola",1
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,"Actinoallomurus iriomotensis",1
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,"Actinoallomurus luridus",1
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,"Actinoallomurus oryzae",1
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,"Actinoallomurus purpureus",1
17016,K08-0182,"DSM 45523, JCM 17294, NBRC 107678",1,"Actinoallomurus radicium",1
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,"Actinoallomurus yoronensis",1
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,"Actinoalloteichus spitiensis",0
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,"Actinobaculum massiliense",0
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",0
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",1
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,"Actinocatenispora sera",1
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,"Actinocatenispora thailandica",1
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,"Actinocorallia cavernae",1
