"","gcf","Acetate_resistance","Acid_resistance","Aldehyde_resistance","Aluminum_resistance","Aminocoumarins","Aminoglycosides","Arsenic_resistance","Bacitracin","betalactams","Biguanide_resistance","Biocide_and_metal_resistance","Cadmium_resistance","Cationic_antimicrobial_peptides","Chromium_resistance","Cobalt_resistance","Copper_resistance","Drug_and_biocide_and_metal_resistance","Drug_and_biocide_resistance","Drug_and_metal_resistance","Elfamycins","Fluoroquinolones","Fosfomycin","Fusidic_acid","Glycopeptides","Gold_resistance","Iron_resistance","Lead_resistance","Lipopeptides","Mercury_resistance","Metronidazole","MLS","Multi-biocide_resistance","Multi-drug_resistance","Multi-metal_resistance","Mupirocin","Mycobacterium_tuberculosis-specific_Drug","Naphthoquinone","Nickel_resistance","Nucleosides","Oxazolidinone","Paraquat_resistance","Peroxide_resistance","Phenicol","Phenolic_compound_resistance","Pleuromutilin","Polyamine_resistance","Quaternary_Ammonium_Compounds_(QACs)_resistance","Rifampin","Sodium_resistance","Spiropyrimidinetriones","Sulfonamides","Tellurium_resistance","Tetracenomycin","Tetracyclines","Thiopeptides","Trimethoprim","Tungsten_Resistance","Zinc_resistance"
"1","GCF_000005825.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","GCF_000005845.2",1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
"3","GCF_000006605.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4","GCF_000006625.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","GCF_000006645.1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6","GCF_000006685.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","GCF_000006745.1",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8","GCF_000006765.1",0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"9","GCF_000006785.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10","GCF_000006825.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","GCF_000006845.1",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"12","GCF_000006865.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
