,strain_full,strain_short,species,gc,accession,gc_percent,genome_components,chromosomes,total_seq_length,genes_nc,genes_coding,pseudogenes,total_genes
0,Acaryochloris marina MBIC11017,MBIC11017,Acaryochloris marina,GCF_000018105.1,Acaryochloris marina MBIC11017,46.5,10,10,8361599,84,7302,244,7630
0,Acetivibrio thermocellus ATCC 27405,ATCC 27405,Acetivibrio thermocellus,GCF_000015865.1,Acetivibrio thermocellus ATCC 27405,38.5,1,1,3843301,72,3268,62,3402
0,Acetobacter pasteurianus IFO 3283_01,IFO 3283 substr. IFO 3283-01,Acetobacter pasteurianus,GCF_000010825.1,Acetobacter pasteurianus IFO 3283-01,53.0,7,7,3340249,76,2946,113,3135
0,Acetobacter pasteurianus IFO 3283_01_42C,IFO 3283 substr. IFO 3283-01-42C,Acetobacter pasteurianus,GCF_000010945.1,Acetobacter pasteurianus IFO 3283-01-42C,53.0,7,7,3247995,70,2882,106,3058
0,Acetobacter pasteurianus IFO 3283_03,IFO 3283 substr. IFO 3283-03,Acetobacter pasteurianus,GCF_000010845.1,Acetobacter pasteurianus IFO 3283-03,53.0,7,7,3339669,76,2943,113,3132
0,Acetobacter pasteurianus IFO 3283_07,IFO 3283 substr. IFO 3283-07,Acetobacter pasteurianus,GCF_000010865.1,Acetobacter pasteurianus IFO 3283-07,53.0,7,7,3338426,76,2939,113,3128
0,Acetobacter pasteurianus IFO 3283_12,IFO 3283 substr. IFO 3283-12,Acetobacter pasteurianus,GCF_000010965.1,Acetobacter pasteurianus IFO 3283-12,53.0,7,7,3336990,76,2942,113,3131
0,Acetobacter pasteurianus IFO 3283_22,IFO 3283 substr. IFO 3283-22,Acetobacter pasteurianus,GCF_000010885.1,Acetobacter pasteurianus IFO 3283-22,53.0,7,7,3339649,76,2942,113,3131
0,Acetobacter pasteurianus IFO 3283_26,IFO 3283 substr. IFO 3283-26,Acetobacter pasteurianus,GCF_000010905.1,Acetobacter pasteurianus IFO 3283-26,53.0,7,7,3339683,76,2942,113,3131
0,Acetobacter pasteurianus IFO 3283_32,IFO 3283 substr. IFO 3283-32,Acetobacter pasteurianus,GCF_000010925.1,Acetobacter pasteurianus IFO 3283-32,53.0,7,7,3337040,76,2939,113,3128
0,Acholeplasma laidlawii PG_8A,PG-8A,Acholeplasma laidlawii,GCF_000018785.1,Acholeplasma laidlawii PG-8A,31.5,1,1,1496992,44,1378,9,1431
0,Acidiphilium cryptum JF_5,JF-5,Acidiphilium cryptum,GCF_000016725.1,Acidiphilium cryptum JF-5,67.0,9,9,3963080,58,3613,97,3768
0,Acidothermus cellulolyticus 11B,11B; ATCC 43068,Acidothermus cellulolyticus,GCF_000015025.1,Acidothermus cellulolyticus 11B,66.5,1,1,2443540,51,2118,37,2206
0,Acidovorax citrulli AAC00_1,AAC00-1,Acidovorax citrulli,GCF_000015325.1,Acidovorax citrulli AAC00-1,68.5,1,1,5352772,65,4811,105,4981
0,Acinetobacter baumannii ACICU,ACICU,Acinetobacter baumannii,GCF_000018445.1,Acinetobacter baumannii ACICU,38.5,3,3,3996761,86,3615,144,3845
0,Actinobacillus pleuropneumoniae serovar 3 str. JL03,JL03,Actinobacillus pleuropneumoniae,GCF_000016685.1,Actinobacillus pleuropneumoniae serovar 3 str. JL03,41.0,1,1,2242062,86,1980,53,2119
0,Actinobacillus pleuropneumoniae serovar 5b str. L20,L20,Actinobacillus pleuropneumoniae,GCF_000015885.1,Actinobacillus pleuropneumoniae serovar 5b str. L20,41.0,1,1,2274482,85,2035,50,2170
0,Aeromonas hydrophila subsp. hydrophila ATCC 7966,ATCC 7966,Aeromonas hydrophila,GCF_000014805.1,Aeromonas hydrophila subsp. hydrophila ATCC 7966,61.5,1,1,4744448,162,4173,23,4358
0,Agrobacterium radiobacter K84,K84,Agrobacterium tumefaciens,GCF_000016265.1,Agrobacterium radiobacter K84,59.5,5,5,7273300,65,6723,113,6901
0,Alcanivorax borkumensis SK2,SK2,Alcanivorax borkumensis,GCF_000009365.1,Alcanivorax borkumensis SK2,54.5,1,1,3120143,55,2758,16,2829
0,Aliarcobacter butzleri RM4018,RM4018,Aliarcobacter butzleri,GCF_000014025.1,Aliarcobacter butzleri RM4018,27.0,1,1,2341251,71,2268,4,2343
0,Aliivibrio fischeri ES114,ES114,Aliivibrio fischeri,GCF_000011805.1,Aliivibrio fischeri ES114,38.0,3,3,4273718,160,3747,42,3949
0,Alkalihalobacillus clausii KSM_K16,KSM-K16,Alkalihalobacillus clausii,GCF_000009825.1,Alkalihalobacillus clausii KSM-K16,44.5,1,1,4303871,102,4196,56,4354
0,Alkalihalophilus pseudofirmus OF4,OF4,Alkalihalophilus pseudofirmus,GCF_000005825.2,Alkalihalophilus pseudofirmus OF4,39.5,3,3,4249248,105,4135,57,4297
0,Alkalilimnicola ehrlichii MLHE_1,MLHE-1,Alkalilimnicola ehrlichii,GCF_000014785.1,Alkalilimnicola ehrlichii MLHE-1,67.5,1,1,3275944,58,2888,17,2963
0,Alkaliphilus metalliredigens QYMF,QYMF,Alkaliphilus metalliredigens,GCF_000016985.1,Alkaliphilus metalliredigens QYMF,36.5,1,1,4929566,141,4721,96,4958
0,Alkaliphilus oremlandii OhILAs,OhILAs,Alkaliphilus oremlandii,GCF_000018325.1,Alkaliphilus oremlandii OhILAs,36.0,1,1,3123558,117,2924,29,3070
0,Allorhizobium ampelinum S4,S4,Allorhizobium ampelinum,GCF_000016285.1,Allorhizobium ampelinum S4,57.0,7,7,6320946,71,5554,175,5800
0,Anaeromyxobacter dehalogenans 2CP_C,2CP-C,Anaeromyxobacter dehalogenans,GCF_000013385.1,Anaeromyxobacter dehalogenans 2CP-C,74.5,1,1,5013479,59,4456,25,4540
0,Anaeromyxobacter sp. Fw109_5,Fw109-5,Anaeromyxobacter sp. Fw109_5,GCF_000017505.1,Anaeromyxobacter sp. Fw109-5,73.5,1,1,5277990,62,4538,55,4655
0,Anaplasma marginale str. St. Maries,St. Maries,Anaplasma marginale,GCF_000011945.1,Anaplasma marginale str. St. Maries,49.5,1,1,1197687,44,924,37,1005
0,Anaplasma phagocytophilum str. HZ,HZ,Anaplasma phagocytophilum,GCF_000013125.1,Anaplasma phagocytophilum str. HZ,41.5,1,1,1471282,44,990,116,1150
0,Anoxybacillus flavithermus WK1,WK1,Anoxybacillus flavithermus,GCF_000019045.1,Anoxybacillus flavithermus WK1,41.5,1,1,2846746,104,2817,94,3015
0,Aquifex aeolicus VF5,VF5,Aquifex aeolicus,GCF_000008625.1,Aquifex aeolicus VF5,43.0,2,2,1590791,52,1724,34,1810
0,Azorhizobium caulinodans ORS 571,ORS 571,Azorhizobium caulinodans,GCF_000010525.1,Azorhizobium caulinodans ORS 571,67.0,1,1,5369772,66,4755,71,4892
0,Azospirillum sp. B510,B510,Azospirillum sp. B510,GCF_000010725.1,Azospirillum sp. B510,67.5,7,7,7599738,110,6458,224,6792
0,Bacillus anthracis str. 'Ames Ancestor',Ames Ancestor; A2084,Bacillus anthracis,GCF_000008445.1,Bacillus anthracis str. 'Ames Ancestor',35.0,3,3,5503926,133,5237,373,5743
0,Bacillus anthracis str. Ames,Ames,Bacillus anthracis,GCF_000007845.1,Bacillus anthracis str. Ames,35.0,1,1,5227293,133,5010,330,5473
0,Bacillus anthracis str. Sterne,Sterne,Bacillus anthracis,GCF_000008165.1,Bacillus anthracis str. Sterne,35.0,1,1,5228663,133,5028,321,5482
0,Bacillus cereus ATCC 10987,ATCC 10987,Bacillus cereus,GCF_000008005.1,Bacillus cereus ATCC 10987,35.0,2,2,5432652,138,5254,212,5604
0,Bacillus cereus ATCC 14579,ATCC 14579,Bacillus cereus,GCF_000007825.1,Bacillus cereus ATCC 14579,35.0,2,2,5427083,150,5113,314,5577
0,Bacillus cereus E33L,E33L,Bacillus cereus,GCF_000011625.1,Bacillus cereus E33L,35.0,6,6,5843235,140,5663,208,6011
0,Bacillus cereus Q1,Q1,Bacillus cereus,GCF_000013065.1,Bacillus cereus Q1,35.0,3,3,5506207,137,5354,160,5651
0,Bacillus cytotoxicus NVH 391_98,NVH 391-98,Bacillus cytotoxicus,GCF_000017425.1,Bacillus cytotoxicus NVH 391-98,35.5,2,2,4094159,150,3859,231,4240
0,Bacillus licheniformis DSM 13 = ATCC 14580,DSM 13,Bacillus licheniformis,GCF_000008425.1,Bacillus licheniformis DSM 13 = ATCC 14580,46.0,1,1,4222645,98,4182,83,4363
0,Bacillus licheniformis DSM 13 = ATCC 14580,ATCC 14580; DSM 13,Bacillus licheniformis,GCF_000011645.1,Bacillus licheniformis DSM 13 = ATCC 14580,46.0,1,1,4222597,98,4186,77,4361
0,Bacillus mycoides KBAB4,KBAB4,Bacillus mycoides,GCF_000018825.1,Bacillus mycoides KBAB4,35.0,5,5,5872743,155,5657,192,6004
0,Bacillus pumilus SAFR_032,SAFR-032,Bacillus pumilus,GCF_000017885.4,Bacillus pumilus SAFR-032,41.0,1,1,3704641,98,3611,55,3764
0,Bacillus subtilis subsp. subtilis str. 168,168,Bacillus subtilis,GCF_000009045.1,Bacillus subtilis subsp. subtilis str. 168,43.5,1,1,4215606,211,4237,88,4536
0,Bacillus thuringiensis str. Al Hakam,Al Hakam,Bacillus thuringiensis,GCF_000015065.1,Bacillus thuringiensis str. Al Hakam,35.0,2,2,5313030,151,5204,137,5492
0,Bacillus velezensis FZB42,FZB42,Bacillus velezensis,GCF_000015785.2,Bacillus velezensis FZB42,46.0,1,1,3918596,121,3676,73,3870
0,Bacteroides fragilis YCH46,YCH46,Bacteroides fragilis,GCF_000009925.1,Bacteroides fragilis YCH46,43.0,2,2,5310990,94,4223,61,4378
0,Bacteroides thetaiotaomicron VPI_5482,VPI-5482,Bacteroides thetaiotaomicron,GCF_000011065.1,Bacteroides thetaiotaomicron VPI-5482,42.5,2,2,6293399,87,4695,95,4877
0,Bartonella bacilliformis KC583,KC583; ATCC 35685,Bartonella bacilliformis,GCF_000015445.1,Bartonella bacilliformis KC583,38.0,1,1,1445021,54,1161,51,1266
0,Bifidobacterium adolescentis ATCC 15703,ATCC 15703,Bifidobacterium adolescentis,GCF_000010425.1,Bifidobacterium adolescentis ATCC 15703,59.0,1,1,2089645,73,1656,19,1748
0,Bifidobacterium longum DJO10A,DJO10A,Bifidobacterium longum,GCF_000008945.1,Bifidobacterium longum DJO10A,60.0,3,3,2389526,74,1909,43,2026
0,Bifidobacterium longum NCC2705,NCC2705,Bifidobacterium longum,GCF_000007525.1,Bifidobacterium longum NCC2705,60.0,2,2,2260266,71,1785,42,1898
0,Borrelia turicatae 91E135,91E135,Borrelia turicatae,GCF_000012085.2,Borrelia turicatae 91E135,29.0,9,9,1165365,38,1052,47,1137
0,Borreliella burgdorferi B31,B31,Borreliella burgdorferi,GCF_000008685.2,Borreliella burgdorferi B31,28.0,22,22,1521208,40,1438,70,1548
0,Bradyrhizobium diazoefficiens USDA 110,USDA110,Bradyrhizobium diazoefficiens,GCF_000011365.1,Bradyrhizobium diazoefficiens USDA 110,64.0,1,1,9105828,60,8228,258,8546
0,Bradyrhizobium sp. BTAi1,BTAi1,Bradyrhizobium sp. BTAi1,GCF_000015165.1,Bradyrhizobium sp. BTAi1,64.5,2,2,8493513,62,7530,108,7700
0,Brevibacillus brevis NBRC 100599,NBRC 100599,Brevibacillus brevis,GCF_000010165.1,Brevibacillus brevis NBRC 100599,47.0,1,1,6296436,176,5795,50,6021
0,Brucella abortus bv. 1 str. 9_941,9-941,Brucella abortus,GCF_000008145.1,Brucella abortus bv. 1 str. 9-941,57.0,2,2,3286445,68,2934,172,3174
0,Brucella abortus S19,S19,Brucella abortus,GCF_000018725.1,Brucella abortus S19,57.0,2,2,3283936,68,2930,178,3176
0,Brucella anthropi ATCC 49188,ATCC 49188,Brucella anthropi,GCF_000017405.1,Brucella anthropi ATCC 49188,56.0,6,6,5205777,76,4848,79,5003
0,Brucella canis ATCC 23365,ATCC 23365,Brucella canis,GCF_000018525.1,Brucella canis ATCC 23365,57.0,2,2,3312769,68,2966,135,3169
0,Brucella melitensis bv. 1 str. 16M,16M,Brucella melitensis,GCF_000007125.1,Brucella melitensis bv. 1 str. 16M,57.0,2,2,3294931,67,2897,222,3186
0,Brucella ovis ATCC 25840,ATCC 25840,Brucella ovis,GCF_000016845.1,Brucella ovis ATCC 25840,57.0,2,2,3275590,66,2788,323,3177
0,Brucella suis 1330,1330,Brucella suis,GCF_000007505.1,Brucella suis 1330,57.0,2,2,3315175,68,2985,126,3179
0,Brucella suis ATCC 23445,ATCC 23445,Brucella suis,GCF_000018905.1,Brucella suis ATCC 23445,57.0,2,2,3324607,67,2958,173,3198
0,Buchnera aphidicola str. APS (Acyrthosiphon pisum),APS,Buchnera aphidicola,GCF_000009605.1,Buchnera aphidicola str. APS (Acyrthosiphon pisum),26.0,3,3,655725,37,584,8,629
0,Buchnera aphidicola str. Bp (Baizongia pistaciae),Bp (Baizongia pistaciae),Buchnera aphidicola,GCF_000007725.1,Buchnera aphidicola str. Bp (Baizongia pistaciae),25.0,2,2,618379,38,516,5,559
0,Buchnera aphidicola str. Sg (Schizaphis graminum),Sg (ex Schizaphis graminum),Buchnera aphidicola,GCF_000007365.1,Buchnera aphidicola str. Sg (Schizaphis graminum),25.0,1,1,641454,38,570,22,630
0,Burkholderia cenocepacia J2315,J2315,Burkholderia cenocepacia,GCF_000009485.1,Burkholderia cenocepacia J2315,66.5,4,4,8055782,97,7250,95,7442
0,Burkholderia lata,383,Burkholderia lata,GCF_000012945.1,Burkholderia lata,66.0,3,3,8676277,91,7692,72,7855
0,Burkholderia mallei ATCC 23344,ATCC 23344,Burkholderia mallei,GCF_000011705.1,Burkholderia mallei ATCC 23344,68.0,2,2,5835527,71,4864,240,5175
0,Burkholderia mallei NCTC 10229,NCTC 10229,Burkholderia mallei,GCF_000015605.1,Burkholderia mallei NCTC 10229,68.0,2,2,5742303,71,4797,221,5089
0,Burkholderia mallei NCTC 10247,NCTC 10247,Burkholderia mallei,GCF_000015625.1,Burkholderia mallei NCTC 10247,68.0,2,2,5848380,70,4879,234,5183
0,Burkholderia mallei SAVP1,SAVP1,Burkholderia mallei,GCF_000015465.1,Burkholderia mallei SAVP1,68.0,2,2,5232401,69,4379,194,4642
0,Burkholderia multivorans ATCC 17616,ATCC 17616,Burkholderia multivorans,GCF_000010545.1,Burkholderia multivorans ATCC 17616,66.5,4,4,7008810,85,6298,114,6497
0,Burkholderia multivorans ATCC 17616,ATCC 17616,Burkholderia multivorans,GCF_000018505.1,Burkholderia multivorans ATCC 17616,66.5,4,4,7008622,85,6301,114,6500
0,Burkholderia pseudomallei 1106a,1106a,Burkholderia pseudomallei,GCF_000015925.1,Burkholderia pseudomallei 1106a,68.0,2,2,7089249,76,5959,83,6118
0,Burkholderia pseudomallei 1710b,1710b,Burkholderia pseudomallei,GCF_000012785.1,Burkholderia pseudomallei 1710b,67.5,2,2,7308054,76,6159,105,6340
0,Burkholderia pseudomallei 668,668,Burkholderia pseudomallei,GCF_000015905.1,Burkholderia pseudomallei 668,68.0,2,2,7040403,76,5957,103,6136
0,Burkholderia pseudomallei K96243,K96243,Burkholderia pseudomallei,GCF_000011545.1,Burkholderia pseudomallei K96243,68.0,2,2,7247547,77,6159,104,6340
0,Burkholderia thailandensis E264,E264; ATCC 700388,Burkholderia thailandensis,GCF_000012365.1,Burkholderia thailandensis E264,67.5,2,2,6723972,76,5650,155,5881
0,Caldanaerobacter subterraneus subsp. tengcongensis MB4,MB4,Caldanaerobacter subterraneus,GCF_000007085.1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,37.5,1,1,2689445,73,2566,85,2724
0,Caldicellulosiruptor saccharolyticus DSM 8903,DSM 8903,Caldicellulosiruptor saccharolyticus,GCF_000016545.1,Caldicellulosiruptor saccharolyticus DSM 8903,35.0,1,1,2970275,59,2762,103,2924
0,Campylobacter concisus 13826,13826,Campylobacter concisus,GCF_000017725.2,Campylobacter concisus 13826,39.0,3,3,2099413,59,2058,17,2134
0,Campylobacter fetus subsp. fetus 82_40,82-40,Campylobacter fetus,GCF_000015085.1,Campylobacter fetus subsp. fetus 82-40,33.0,1,1,1773615,56,1733,12,1801
0,Campylobacter hominis ATCC BAA_381,ATCC BAA-381,Campylobacter hominis,GCF_000017585.1,Campylobacter hominis ATCC BAA-381,31.5,2,2,1714951,56,1604,21,1681
0,Campylobacter jejuni RM1221,RM1221,Campylobacter jejuni,GCF_000011865.1,Campylobacter jejuni RM1221,30.0,1,1,1777831,56,1775,58,1889
0,Campylobacter jejuni subsp. jejuni 81_176,81-176,Campylobacter jejuni,GCF_000015525.1,Campylobacter jejuni subsp. jejuni 81-176,30.0,3,3,1699052,56,1643,53,1752
0,Campylobacter jejuni subsp. jejuni 81116,81116; NCTC 11828,Campylobacter jejuni,GCF_000017905.1,Campylobacter jejuni subsp. jejuni 81116,30.5,1,1,1628115,56,1579,33,1668
0,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,NCTC 11168,Campylobacter jejuni,GCF_000009085.1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,30.5,1,1,1641481,56,1572,40,1668
0,Campylobacter lari RM2100,RM2100; ATCC BAA-1060D,Campylobacter lari,GCF_000019205.1,Campylobacter lari RM2100,29.5,2,2,1571661,58,1552,24,1634
0,Carboxydothermus hydrogenoformans Z_2901,Z-2901,Carboxydothermus hydrogenoformans,GCF_000012865.1,Carboxydothermus hydrogenoformans Z-2901,42.0,1,1,2401520,66,2445,23,2534
0,Caulobacter vibrioides CB15,CB15,Caulobacter vibrioides,GCF_000006905.1,Caulobacter vibrioides CB15,67.0,1,1,4016947,61,3829,105,3995
0,Cellvibrio japonicus Ueda107,Ueda107,Cellvibrio japonicus,GCF_000019225.1,Cellvibrio japonicus Ueda107,51.5,1,1,4576573,59,3608,28,3695
0,Chlamydia caviae GPIC,,Chlamydia caviae,GCF_000007605.1,Chlamydia caviae GPIC,39.0,2,2,1181356,44,988,6,1038
0,Chlamydia felis Fe/C_56,Fe/C-56,Chlamydia felis,GCF_000009945.1,Chlamydia felis Fe/C-56,39.0,2,2,1173791,44,975,8,1027
0,Chlamydia muridarum str. Nigg,Nigg,Chlamydia muridarum,GCF_000006685.1,Chlamydia muridarum str. Nigg,40.0,2,2,1080451,46,891,5,942
0,Chlamydia pneumoniae CWL029,CWL029,Chlamydia pneumoniae,GCF_000008745.1,Chlamydia pneumoniae CWL029,40.5,1,1,1230230,44,1038,14,1096
0,Chlamydia pneumoniae J138,J138,Chlamydia pneumoniae,GCF_000011165.1,Chlamydia pneumoniae J138,40.5,1,1,1226565,44,1033,15,1092
0,Chlamydia pneumoniae TW_183,TW-183,Chlamydia pneumoniae,GCF_000007205.1,Chlamydia pneumoniae TW-183,40.5,1,1,1225935,44,1040,9,1093
0,Chlamydia trachomatis A/HAR_13,A/HAR-13,Chlamydia trachomatis,GCF_000012125.1,Chlamydia trachomatis A/HAR-13,41.0,2,2,1051969,46,886,26,958
