"","gcf","ar_count"
"1","GCF_000005825.2",2
"2","GCF_000005845.2",29
"3","GCF_000006605.1",3
"4","GCF_000006625.1",1
"5","GCF_000006645.1",10
"6","GCF_000006685.1",1
"7","GCF_000006745.1",10
"8","GCF_000006765.1",19
"9","GCF_000006785.2",4
"10","GCF_000006825.1",2
"11","GCF_000006845.1",12
"12","GCF_000006865.1",1
"13","GCF_000006885.1",8
"14","GCF_000006905.1",2
"15","GCF_000006925.2",28
"16","GCF_000006945.2",28
"17","GCF_000006965.1",4
"18","GCF_000006985.1",0
"19","GCF_000007045.1",8
"20","GCF_000007125.1",2
"21","GCF_000007145.1",3
"22","GCF_000007165.1",3
"23","GCF_000007205.1",1
"24","GCF_000007265.1",4
"25","GCF_000007285.1",4
"26","GCF_000007405.1",28
"27","GCF_000007425.1",4
"28","GCF_000007445.1",30
"29","GCF_000007465.2",2
"30","GCF_000007505.1",2
"31","GCF_000007525.1",2
"32","GCF_000007545.1",26
"33","GCF_000007565.2",10
"34","GCF_000007585.1",1
"35","GCF_000007605.1",1
"36","GCF_000007645.1",17
"37","GCF_000007665.1",0
"38","GCF_000007705.1",4
"39","GCF_000007785.1",11
"40","GCF_000007805.1",7
"41","GCF_000007825.1",6
"42","GCF_000007845.1",9
"43","GCF_000007865.1",10
"44","GCF_000007885.1",10
"45","GCF_000007905.1",1
"46","GCF_000007985.2",0
"47","GCF_000008005.1",8
"48","GCF_000008105.1",33
"49","GCF_000008125.1",1
"50","GCF_000008145.1",2
"51","GCF_000008165.1",9
"52","GCF_000008285.1",8
"53","GCF_000008325.1",2
"54","GCF_000008345.1",2
"55","GCF_000008425.1",7
"56","GCF_000008445.1",9
"57","GCF_000008465.1",0
"58","GCF_000008485.1",7
"59","GCF_000008565.1",1
"60","GCF_000008585.1",15
"61","GCF_000008605.1",1
"62","GCF_000008685.2",1
"63","GCF_000008725.1",3
"64","GCF_000008745.1",1
"65","GCF_000008765.1",2
"66","GCF_000008785.1",10
"67","GCF_000008805.1",11
"68","GCF_000008865.2",30
"69","GCF_000008925.1",0
"70","GCF_000008945.1",3
"71","GCF_000008985.1",1
"72","GCF_000009005.1",23
"73","GCF_000009045.1",17
"74","GCF_000009065.1",10
"75","GCF_000009085.1",8
"76","GCF_000009105.1",9
"77","GCF_000009125.1",7
"78","GCF_000009145.1",1
"79","GCF_000009165.1",5
"80","GCF_000009205.2",8
"81","GCF_000009245.1",1
"82","GCF_000009265.1",4
"83","GCF_000009285.1",9
"84","GCF_000009305.1",10
"85","GCF_000009325.1",1
"86","GCF_000009345.1",12
"87","GCF_000009365.1",0
"88","GCF_000009385.1",4
"89","GCF_000009405.1",7
"90","GCF_000009425.1",1
"91","GCF_000009445.1",14
"92","GCF_000009465.1",10
"93","GCF_000009485.1",10
"94","GCF_000009505.1",28
"95","GCF_000009525.1",28
"96","GCF_000009565.1",29
"97","GCF_000009585.1",22
"98","GCF_000009625.1",0
"99","GCF_000009645.1",24
"100","GCF_000009665.1",23
"101","GCF_000009685.1",1
"102","GCF_000009705.1",0
"103","GCF_000009725.1",7
"104","GCF_000009745.1",7
"105","GCF_000009765.2",3
"106","GCF_000009785.1",3
"107","GCF_000009805.1",7
"108","GCF_000009825.1",10
"109","GCF_000009865.1",15
"110","GCF_000009885.1",29
"111","GCF_000009905.1",0
"112","GCF_000009925.1",3
"113","GCF_000009945.1",1
"114","GCF_000009985.1",0
"115","GCF_000010025.1",3
"116","GCF_000010045.1",1
"117","GCF_000010065.1",1
"118","GCF_000010085.1",7
"119","GCF_000010105.1",4
"120","GCF_000010125.1",10
"121","GCF_000010165.1",11
"122","GCF_000010225.1",1
"123","GCF_000010245.2",29
"124","GCF_000010265.1",4
"125","GCF_000010285.1",0
"126","GCF_000010305.1",0
"127","GCF_000010385.1",30
"128","GCF_000010425.1",2
"129","GCF_000010445.1",23
"130","GCF_000010465.1",23
"131","GCF_000010485.1",29
"132","GCF_000010505.1",1
"133","GCF_000010525.1",0
"134","GCF_000010545.1",10
"135","GCF_000010585.1",6
"136","GCF_000010605.1",8
"137","GCF_000010625.1",1
"138","GCF_000010665.1",4
"139","GCF_000010685.1",15
"140","GCF_000010705.1",4
"141","GCF_000010725.1",1
"142","GCF_000010745.1",30
"143","GCF_000010765.1",33
"144","GCF_000010805.1",4
"145","GCF_000011025.1",0
"146","GCF_000011065.1",1
"147","GCF_000011145.1",2
"148","GCF_000011165.1",1
"149","GCF_000011245.1",3
"150","GCF_000011265.1",22
"151","GCF_000011285.1",4
"152","GCF_000011305.1",0
"153","GCF_000011325.1",1
"154","GCF_000011365.1",2
"155","GCF_000011385.1",0
"156","GCF_000011405.1",1
"157","GCF_000011505.1",23
"158","GCF_000011525.1",22
"159","GCF_000011545.1",7
"160","GCF_000011605.1",12
"161","GCF_000011625.1",8
"162","GCF_000011645.1",7
"163","GCF_000011665.1",4
"164","GCF_000011705.1",7
"165","GCF_000011725.1",10
"166","GCF_000011765.3",4
"167","GCF_000011805.1",5
"168","GCF_000011825.1",0
"169","GCF_000011845.1",0
"170","GCF_000011865.1",7
"171","GCF_000011885.1",28
"172","GCF_000011925.1",16
